Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Tested
03/10/2020 12:00:00 AM,0,0,0,0,1
03/11/2020 12:00:00 AM,0,0,0,0,4
03/12/2020 12:00:00 AM,0,0,0,0,4
03/13/2020 12:00:00 AM,0,0,0,0,12
03/14/2020 12:00:00 AM,1,1,0,0,16
03/15/2020 12:00:00 AM,2,1,0,0,12
03/16/2020 12:00:00 AM,6,4,0,0,75
03/17/2020 12:00:00 AM,9,3,0,0,125
03/18/2020 12:00:00 AM,12,3,0,0,131
03/19/2020 12:00:00 AM,22,10,0,0,175
03/20/2020 12:00:00 AM,37,15,0,0,190
03/21/2020 12:00:00 AM,42,5,0,0,77
03/22/2020 12:00:00 AM,43,1,0,0,61
03/23/2020 12:00:00 AM,55,12,0,0,195
03/24/2020 12:00:00 AM,71,16,0,0,231
03/25/2020 12:00:00 AM,88,17,0,0,200
03/26/2020 12:00:00 AM,99,11,0,0,181
03/27/2020 12:00:00 AM,112,13,0,0,184
03/28/2020 12:00:00 AM,122,10,0,0,102
03/29/2020 12:00:00 AM,127,5,0,0,70
03/30/2020 12:00:00 AM,147,20,1,1,227
03/31/2020 12:00:00 AM,169,22,1,0,195
04/01/2020 12:00:00 AM,191,22,1,0,175
04/02/2020 12:00:00 AM,214,23,2,1,178
04/03/2020 12:00:00 AM,234,20,4,2,134
04/04/2020 12:00:00 AM,248,14,5,1,101
04/05/2020 12:00:00 AM,258,10,8,3,75
04/06/2020 12:00:00 AM,282,24,8,0,178
04/07/2020 12:00:00 AM,302,20,9,1,178
04/08/2020 12:00:00 AM,317,15,9,0,189
04/09/2020 12:00:00 AM,337,20,9,0,174
04/10/2020 12:00:00 AM,351,14,9,0,177
04/11/2020 12:00:00 AM,357,6,9,0,109
04/12/2020 12:00:00 AM,359,2,9,0,66
04/13/2020 12:00:00 AM,379,20,11,2,212
04/14/2020 12:00:00 AM,394,15,12,1,209
04/15/2020 12:00:00 AM,407,13,12,0,193
04/16/2020 12:00:00 AM,419,12,12,0,187
04/17/2020 12:00:00 AM,429,10,13,1,242
04/18/2020 12:00:00 AM,434,5,13,0,111
04/19/2020 12:00:00 AM,438,4,13,0,74
04/20/2020 12:00:00 AM,456,18,13,0,319
04/21/2020 12:00:00 AM,472,16,15,2,309
04/22/2020 12:00:00 AM,484,12,15,0,361
04/23/2020 12:00:00 AM,496,12,16,1,244
04/24/2020 12:00:00 AM,507,11,16,0,420
04/25/2020 12:00:00 AM,513,6,16,0,170
04/26/2020 12:00:00 AM,516,3,16,0,88
04/27/2020 12:00:00 AM,555,39,16,0,515
04/28/2020 12:00:00 AM,592,37,16,0,769
04/29/2020 12:00:00 AM,637,45,16,0,610
04/30/2020 12:00:00 AM,667,30,16,0,406
05/01/2020 12:00:00 AM,682,15,16,0,551
05/02/2020 12:00:00 AM,692,10,17,1,260
05/03/2020 12:00:00 AM,698,6,17,0,136
05/04/2020 12:00:00 AM,727,29,17,0,404
05/05/2020 12:00:00 AM,753,26,17,0,610
05/06/2020 12:00:00 AM,770,17,17,0,542
05/07/2020 12:00:00 AM,782,12,17,0,509
05/08/2020 12:00:00 AM,797,15,17,0,553
05/09/2020 12:00:00 AM,807,10,17,0,364
05/10/2020 12:00:00 AM,812,5,17,0,176
05/11/2020 12:00:00 AM,835,23,17,0,538
05/12/2020 12:00:00 AM,849,14,18,1,491
05/13/2020 12:00:00 AM,879,30,19,1,587
05/14/2020 12:00:00 AM,899,20,19,0,535
05/15/2020 12:00:00 AM,914,15,19,0,679
05/16/2020 12:00:00 AM,926,12,21,2,347
05/17/2020 12:00:00 AM,934,8,21,0,166
05/18/2020 12:00:00 AM,973,39,22,1,730
05/19/2020 12:00:00 AM,1001,28,22,0,940
05/20/2020 12:00:00 AM,1026,25,22,0,730
05/21/2020 12:00:00 AM,1062,36,22,0,695
05/22/2020 12:00:00 AM,1086,24,22,0,489
05/23/2020 12:00:00 AM,1091,5,23,1,281
05/24/2020 12:00:00 AM,1101,10,25,2,237
05/25/2020 12:00:00 AM,1108,7,25,0,203
05/26/2020 12:00:00 AM,1137,29,25,0,1247
05/27/2020 12:00:00 AM,1178,41,25,0,1097
05/28/2020 12:00:00 AM,1207,29,26,1,801
05/29/2020 12:00:00 AM,1249,42,26,0,910
05/30/2020 12:00:00 AM,1357,108,26,0,785
05/31/2020 12:00:00 AM,1432,75,28,2,439
06/01/2020 12:00:00 AM,1462,30,29,1,916
06/02/2020 12:00:00 AM,1494,32,29,0,1087
06/03/2020 12:00:00 AM,1531,37,30,1,1104
06/04/2020 12:00:00 AM,1560,29,30,0,576
06/05/2020 12:00:00 AM,1610,50,30,0,1013
06/06/2020 12:00:00 AM,1626,16,31,1,477
06/07/2020 12:00:00 AM,1634,8,32,1,262
06/08/2020 12:00:00 AM,1677,43,32,0,1051
06/09/2020 12:00:00 AM,1722,45,32,0,1252
06/10/2020 12:00:00 AM,1749,27,32,0,967
06/11/2020 12:00:00 AM,1776,27,32,0,842
06/12/2020 12:00:00 AM,1821,45,32,0,1047
06/13/2020 12:00:00 AM,1832,11,32,0,547
06/14/2020 12:00:00 AM,1849,17,32,0,266
06/15/2020 12:00:00 AM,1888,39,32,0,1126
06/16/2020 12:00:00 AM,1942,54,32,0,1226
06/17/2020 12:00:00 AM,1994,52,32,0,1229
06/18/2020 12:00:00 AM,2053,59,32,0,1123
06/19/2020 12:00:00 AM,2103,50,32,0,1033
06/20/2020 12:00:00 AM,2125,22,33,1,550
06/21/2020 12:00:00 AM,2149,24,34,1,342
06/22/2020 12:00:00 AM,2221,72,35,1,1445
06/23/2020 12:00:00 AM,2286,65,35,0,1435
06/24/2020 12:00:00 AM,2398,112,36,1,1423
06/25/2020 12:00:00 AM,2475,77,36,0,1187
06/26/2020 12:00:00 AM,2555,80,36,0,1569
06/27/2020 12:00:00 AM,2593,38,37,1,794
06/28/2020 12:00:00 AM,2621,28,38,1,456
06/29/2020 12:00:00 AM,2725,104,38,0,1756
06/30/2020 12:00:00 AM,2855,130,38,0,1550
07/01/2020 12:00:00 AM,2962,107,38,0,1703
07/02/2020 12:00:00 AM,3076,114,38,0,1615
07/03/2020 12:00:00 AM,3144,68,39,1,1121
07/04/2020 12:00:00 AM,3167,23,39,0,501
07/05/2020 12:00:00 AM,3212,45,39,0,454
07/06/2020 12:00:00 AM,3341,129,41,2,1930
07/07/2020 12:00:00 AM,3495,154,42,1,1706
07/08/2020 12:00:00 AM,3626,131,43,1,1641
07/09/2020 12:00:00 AM,3781,155,45,2,1551
07/10/2020 12:00:00 AM,3905,124,45,0,1518
07/11/2020 12:00:00 AM,3989,84,45,0,1206
07/12/2020 12:00:00 AM,4031,42,48,3,668
07/13/2020 12:00:00 AM,4193,162,53,5,2952
07/14/2020 12:00:00 AM,4383,190,53,0,2296
07/15/2020 12:00:00 AM,4568,185,53,0,1941
07/16/2020 12:00:00 AM,4690,122,53,0,1544
07/17/2020 12:00:00 AM,4812,122,54,1,1554
07/18/2020 12:00:00 AM,4890,78,57,3,943
07/19/2020 12:00:00 AM,4928,38,58,1,463
07/20/2020 12:00:00 AM,5045,117,60,2,2048
07/21/2020 12:00:00 AM,5199,154,62,2,2245
07/22/2020 12:00:00 AM,5314,115,63,1,1237
07/23/2020 12:00:00 AM,5460,146,67,4,1872
07/24/2020 12:00:00 AM,5574,114,69,2,1826
07/25/2020 12:00:00 AM,5632,58,70,1,967
07/26/2020 12:00:00 AM,5676,44,71,1,489
07/27/2020 12:00:00 AM,5809,133,72,1,2033
07/28/2020 12:00:00 AM,5910,101,73,1,1664
07/29/2020 12:00:00 AM,6031,121,74,1,1335
07/30/2020 12:00:00 AM,6120,89,78,4,1376
07/31/2020 12:00:00 AM,6246,126,81,3,1467
08/01/2020 12:00:00 AM,6312,66,82,1,922
08/02/2020 12:00:00 AM,6343,31,83,1,466
08/03/2020 12:00:00 AM,6507,164,85,2,2221
08/04/2020 12:00:00 AM,6644,137,85,0,1653
08/05/2020 12:00:00 AM,6785,141,87,2,1928
08/06/2020 12:00:00 AM,6906,121,89,2,1969
08/07/2020 12:00:00 AM,7016,110,89,0,1780
08/08/2020 12:00:00 AM,7076,60,90,1,931
08/09/2020 12:00:00 AM,7111,35,90,0,697
08/10/2020 12:00:00 AM,7259,148,93,3,2636
08/11/2020 12:00:00 AM,7399,140,94,1,2383
08/12/2020 12:00:00 AM,7516,117,96,2,2086
08/13/2020 12:00:00 AM,7652,136,100,4,1790
08/14/2020 12:00:00 AM,7772,120,100,0,2016
08/15/2020 12:00:00 AM,7830,58,101,1,940
08/16/2020 12:00:00 AM,7880,50,101,0,836
08/17/2020 12:00:00 AM,7987,107,102,1,2020
08/18/2020 12:00:00 AM,8113,126,103,1,2100
08/19/2020 12:00:00 AM,8228,115,106,3,2159
08/20/2020 12:00:00 AM,8365,137,108,2,1693
08/21/2020 12:00:00 AM,8459,94,110,2,1549
08/22/2020 12:00:00 AM,8505,46,112,2,832
08/23/2020 12:00:00 AM,8556,51,114,2,641
08/24/2020 12:00:00 AM,8695,139,116,2,2468
08/25/2020 12:00:00 AM,8813,118,118,2,1789
08/26/2020 12:00:00 AM,8930,117,120,2,2264
